id,filename,label,width,height,box
F_00001,PennFudanPed/PNGImages/FudanPed00001.png,PASpersonWalking,559,536,"[160, 182, 302, 431]"
F_00001,PennFudanPed/PNGImages/FudanPed00001.png,PASpersonWalking,559,536,"[420, 171, 535, 486]"
F_00002,PennFudanPed/PNGImages/FudanPed00002.png,PASpersonWalking,455,414,"[68, 93, 191, 380]"
F_00003,PennFudanPed/PNGImages/FudanPed00003.png,PASpersonWalking,479,445,"[293, 135, 447, 421]"
F_00004,PennFudanPed/PNGImages/FudanPed00004.png,PASpersonWalking,396,397,"[168, 60, 324, 338]"
F_00004,PennFudanPed/PNGImages/FudanPed00004.png,PASpersonWalking,396,397,"[9, 61, 48, 180]"
F_00005,PennFudanPed/PNGImages/FudanPed00005.png,PASpersonWalking,335,344,"[188, 59, 320, 336]"
F_00005,PennFudanPed/PNGImages/FudanPed00005.png,PASpersonWalking,335,344,"[2, 53, 40, 158]"
F_00006,PennFudanPed/PNGImages/FudanPed00006.png,PASpersonWalking,385,426,"[208, 108, 346, 385]"
F_00006,PennFudanPed/PNGImages/FudanPed00006.png,PASpersonWalking,385,426,"[2, 108, 87, 384]"
F_00007,PennFudanPed/PNGImages/FudanPed00007.png,PASpersonWalking,539,381,"[112, 69, 218, 346]"
F_00007,PennFudanPed/PNGImages/FudanPed00007.png,PASpersonWalking,539,381,"[378, 76, 529, 377]"
F_00007,PennFudanPed/PNGImages/FudanPed00007.png,PASpersonWalking,539,381,"[317, 108, 347, 192]"
F_00008,PennFudanPed/PNGImages/FudanPed00008.png,PASpersonWalking,388,454,"[228, 158, 370, 436]"
F_00008,PennFudanPed/PNGImages/FudanPed00008.png,PASpersonWalking,388,454,"[39, 179, 115, 363]"
F_00009,PennFudanPed/PNGImages/FudanPed00009.png,PASpersonWalking,465,441,"[306, 138, 453, 430]"
F_00009,PennFudanPed/PNGImages/FudanPed00009.png,PASpersonWalking,465,441,"[157, 124, 298, 398]"
F_00010,PennFudanPed/PNGImages/FudanPed00010.png,PASpersonWalking,411,393,"[281, 90, 401, 374]"
