id,filename,label,width,height,area,box,fold
F_00001,PennFudanPed/PNGImages/FudanPed00001.png,PASpersonWalking,559,536,35791.5,"[160, 182, 302, 431]",4
F_00001,PennFudanPed/PNGImages/FudanPed00001.png,PASpersonWalking,559,536,35791.5,"[420, 171, 535, 486]",4
F_00002,PennFudanPed/PNGImages/FudanPed00002.png,PASpersonWalking,455,414,35301.0,"[68, 93, 191, 380]",5
F_00003,PennFudanPed/PNGImages/FudanPed00003.png,PASpersonWalking,479,445,44044.0,"[293, 135, 447, 421]",5
F_00004,PennFudanPed/PNGImages/FudanPed00004.png,PASpersonWalking,396,397,24004.5,"[168, 60, 324, 338]",4
F_00004,PennFudanPed/PNGImages/FudanPed00004.png,PASpersonWalking,396,397,24004.5,"[9, 61, 48, 180]",4
F_00005,PennFudanPed/PNGImages/FudanPed00005.png,PASpersonWalking,335,344,20277.0,"[188, 59, 320, 336]",2
F_00005,PennFudanPed/PNGImages/FudanPed00005.png,PASpersonWalking,335,344,20277.0,"[2, 53, 40, 158]",2
F_00006,PennFudanPed/PNGImages/FudanPed00006.png,PASpersonWalking,385,426,30843.0,"[208, 108, 346, 385]",3
F_00006,PennFudanPed/PNGImages/FudanPed00006.png,PASpersonWalking,385,426,30843.0,"[2, 108, 87, 384]",3
F_00007,PennFudanPed/PNGImages/FudanPed00007.png,PASpersonWalking,539,381,29362.0,"[112, 69, 218, 346]",5
F_00007,PennFudanPed/PNGImages/FudanPed00007.png,PASpersonWalking,539,381,29362.0,"[378, 76, 529, 377]",5
F_00007,PennFudanPed/PNGImages/FudanPed00007.png,PASpersonWalking,539,381,29362.0,"[317, 108, 347, 192]",5
F_00008,PennFudanPed/PNGImages/FudanPed00008.png,PASpersonWalking,388,454,26730.0,"[228, 158, 370, 436]",2
F_00008,PennFudanPed/PNGImages/FudanPed00008.png,PASpersonWalking,388,454,26730.0,"[39, 179, 115, 363]",2
F_00009,PennFudanPed/PNGImages/FudanPed00009.png,PASpersonWalking,465,441,40779.0,"[306, 138, 453, 430]",5
F_00009,PennFudanPed/PNGImages/FudanPed00009.png,PASpersonWalking,465,441,40779.0,"[157, 124, 298, 398]",5
F_00010,PennFudanPed/PNGImages/FudanPed00010.png,PASpersonWalking,411,393,34080.0,"[281, 90, 401, 374]",5
F_00011,PennFudanPed/PNGImages/FudanPed00011.png,PASpersonWalking,459,420,45120.0,"[278, 112, 438, 394]",5
F_00012,PennFudanPed/PNGImages/FudanPed00012.png,PASpersonWalking,468,384,34649.5,"[159, 71, 295, 361]",3
F_00012,PennFudanPed/PNGImages/FudanPed00012.png,PASpersonWalking,468,384,34649.5,"[328, 58, 439, 327]",3
F_00013,PennFudanPed/PNGImages/FudanPed00013.png,PASpersonWalking,652,498,46695.0,"[389, 193, 554, 476]",4
